case,f,angles_pi,residual,status,branch
APP-010,12,"[4/9, 4/9, 2/3, 7/9, 1]",.13e-49,PASS,"sigma2--/R1;lift;k=0,0"
APP-012,44,"[4/11, 4/11, 6/11, 9/11, 1]",.14e-49,PASS,"sigma2--/R7;lift;k=0,0"
APP-018,14,"[4/7, 3/7, 5/7, 5/7, 6/7]",.1e-49,PASS,"sigma2++/R3;lift;k=0,0"
APP-019,18,"[5/9, 4/9, 2/3, 13/18, 5/6]",.1e-49,PASS,"sigma2-+/R4;lift;k=0,0"
APP-020,24,"[2/3, 1, 1/2, 2/3, 1/3]",0.,PASS,"sign+-/R3;lift;k=0,0"
APP-021,24,"[2/3, 1, 1/2, 2/3, 1/3]",0.,PASS,"sign+-/R3;lift;k=0,0"
APP-022,40,"[9/10, 3/10, 1/5, 11/20, 23/20]",.1e-50,PASS,"sign--/R3;lift;k=0,0"
APP-025,12,"[1, 2/3, 1/2, 1/2, 2/3]",0.,PASS,"sign-+/R1;lift;k=0,0"
APP-026,12,"[1/3, 1, 2/3, 5/6, 1/2]",0.,PASS,"sign-+/R3;lift;k=0,0"
APP-027,12,"[1/3, 1, 2/3, 5/6, 1/2]",0.,PASS,"sign-+/R2;lift;k=0,0"
APP-028,18,"[1/3, 1, 5/9, 5/6, 1/2]",.3e-49,PASS,"sigma2-+/R5;lift;k=0,0"
APP-028,28,"[2/7, 6/7, 4/7, 6/7, 4/7]",.4e-49,PASS,"sigma2+-/R6;lift;k=0,0"
APP-029,24,"[1/3, 1, 1/2, 5/6, 1/2]",0.,PASS,"sign--/R3;lift;k=0,0"
APP-029,28,"[2/7, 6/7, 4/7, 6/7, 4/7]",.4e-49,PASS,"sigma2+-/R6;lift;k=0,0"
APP-030,12,"[1, 2/3, 1/2, 1/2, 2/3]",0.,PASS,"tau++/R1;lift;k=0,0"
APP-030,24,"[1/3, 1, 1/2, 5/6, 1/2]",0.,PASS,"tau+-/R2;lift;k=0,0"
APP-031,48,"[1/4, 7/4, 1/12, 7/8, 1/8]",0.,PASS,"sign--/R3;lift;k=0,0"
APP-032,60,"[1/3, 1, 2/5, 5/6, 1/2]",.2e-49,PASS,"sigma2--/R1;lift;k=0,0"
APP-037,24,"[1, 1/2, 1, 1/2, 1/6]",0.,PASS,"sign+-/R2;lift;k=0,0"
APP-038,24,"[1, 1/2, 1, 1/2, 1/6]",0.,PASS,"tau--/R2;lift;k=0,0"
APP-046,12,"[1/3, 1, 2/3, 5/6, 1/2]",0.,PASS,"sign-+/R2;lift;k=0,0"
APP-047,28,"[2/7, 6/7, 4/7, 6/7, 4/7]",.4e-49,PASS,"sigma2+-/R6;lift;k=0,0"
APP-048,28,"[2/7, 6/7, 4/7, 6/7, 4/7]",.4e-49,PASS,"sigma2+-/R5;lift;k=0,0"
APP-058,16,"[3/2, 1/4, 1/2, 1/4, 3/4]",0.,PASS,"sign--/R1;lift;k=0,0"
APP-074,20,"[2/5, 2/5, 4/5, 3/5, 1]",.3e-49,PASS,"sigma2+-/R1;lift;k=0,0"
APP-074,20,"[2/5, 2/5, 4/5, 7/10, 9/10]",.1e-49,PASS,"sigma2--/R1;lift;k=0,0"
APP-083,20,"[2/5, 4/5, 2/5, 1, 3/5]",.3e-49,PASS,"sigma2+-/R1;lift;k=0,0"
APP-083,12,"[1/2, 1, 1/3, 1, 1/2]",0.,PASS,"sigma2+-/R4;lift;k=0,0"
APP-108,12,"[1/3, 1, 2/3, 5/6, 1/2]",0.,PASS,"sigma2+-/R1;lift;k=0,0"
APP-111,24,"[1/3, 1, 1/2, 5/6, 1/2]",0.,PASS,"sign+-/R3;lift;k=0,0"
APP-122,12,"[1, 1/2, 2/3, 2/3, 1/2]",0.,PASS,"sign-+/R2;lift;k=0,0"
APP-123,12,"[5/6, 5/6, 1/3, 5/6, 1/2]",.2e-49,PASS,"sign-+/R1;lift;k=0,0"
APP-131,28,"[2/7, 10/7, 6/7, 3/7, 1/7]",0.,PASS,"sigma2+-/R6;lift;k=0,0"
APP-154,12,"[2/3, 1/2, 2/3, 1, 1/2]",.10e-49,PASS,"sign-+/R2;lift;k=0,0"
APP-155,20,"[4/5, 6/5, 2/5, 7/10, 1/10]",0.,PASS,"sign+-/R4;lift;k=0,0"
APP-155,20,"[4/5, 6/5, 2/5, 1/10, 7/10]",0.,PASS,"sign+-/R4;lift;k=0,0"
APP-156,20,"[4/5, 6/5, 2/5, 7/10, 1/10]",0.,PASS,"sigma2+-/R1;lift;k=0,0"
APP-156,20,"[4/5, 6/5, 2/5, 1/10, 7/10]",0.,PASS,"sigma2+-/R1;lift;k=0,0"
APP-157,20,"[4/5, 6/5, 2/5, 7/10, 1/10]",0.,PASS,"sign+-/R4;lift;k=0,0"
APP-157,20,"[4/5, 6/5, 2/5, 1/10, 7/10]",0.,PASS,"sign+-/R4;lift;k=0,0"
APP-158,28,"[6/7, 4/7, 2/7, 3/7, 1]",0.,PASS,"sigma2+-/R7;lift;k=0,0"
APP-159,28,"[6/7, 4/7, 2/7, 3/7, 1]",0.,PASS,"sigma2+-/R7;lift;k=0,0"
APP-160,28,"[6/7, 4/7, 2/7, 3/7, 1]",0.,PASS,"sigma2--/R4;lift;k=0,0"
