"case","input_index","batch","status"
"APP-001","1","batch-001-016","complete"
"APP-002","2","batch-001-016","complete"
"APP-003","3","batch-001-016","complete"
"APP-004","4","batch-001-016","complete"
"APP-005","5","batch-001-016","complete"
"APP-006","6","batch-001-016","complete"
"APP-007-OR1","7","batch-001-016","complete"
"APP-007-OR2","8","batch-001-016","complete"
"APP-007","9","batch-001-016","complete"
"APP-008","10","batch-001-016","complete"
"APP-009","11","batch-001-016","complete"
"APP-010","12","batch-001-016","complete"
"APP-011-OR1","13","batch-001-016","complete"
"APP-011","14","batch-001-016","complete"
"APP-012-OR1","15","batch-001-016","complete"
"APP-012","16","batch-001-016","complete"
"APP-013","17","batch-017-032","complete"
"APP-014","18","batch-017-032","complete"
"APP-015","19","batch-017-032","complete"
"APP-016","20","batch-017-032","complete"
"APP-017","21","batch-017-032","complete"
"APP-018","22","batch-017-032","complete"
"APP-019","23","batch-017-032","complete"
"APP-020","24","batch-017-032","complete"
"APP-021","25","batch-017-032","complete"
"APP-022","26","batch-017-032","complete"
"APP-023","27","batch-017-032","complete"
"APP-024","28","batch-017-032","complete"
"APP-025","29","batch-017-032","complete"
"APP-026","30","batch-017-032","complete"
"APP-027","31","batch-017-032","complete"
"APP-028","32","batch-017-032","complete"
"APP-029","33","batch-033-048","complete"
"APP-030","34","batch-033-048","complete"
"APP-031","35","batch-033-048","complete"
"APP-032","36","batch-033-048","complete"
"APP-033-OR1","37","batch-033-048","complete"
"APP-033-OR2","38","batch-033-048","complete"
"APP-033","39","batch-033-048","complete"
"APP-034","40","batch-033-048","complete"
"APP-035-OR1","41","batch-033-048","complete"
"APP-035","42","batch-033-048","complete"
"APP-036","43","batch-033-048","complete"
"APP-037-OR1","44","batch-033-048","complete"
"APP-037","45","batch-033-048","complete"
"APP-038","46","batch-033-048","complete"
"APP-039","47","batch-033-048","complete"
"APP-040","48","batch-033-048","complete"
"APP-041","49","batch-049-064","complete"
"APP-042","50","batch-049-064","complete"
"APP-043","51","batch-049-064","complete"
"APP-044","52","batch-049-064","complete"
"APP-045","53","batch-049-064","complete"
"APP-046","54","batch-049-064","complete"
"APP-047","55","batch-049-064","complete"
"APP-048","56","batch-049-064","complete"
"APP-049","57","batch-049-064","complete"
"APP-050","58","batch-049-064","complete"
"APP-051","59","batch-049-064","complete"
"APP-052","60","batch-049-064","complete"
"APP-053","61","batch-049-064","complete"
"APP-054","62","batch-049-064","complete"
"APP-055","63","batch-049-064","complete"
"APP-056","64","batch-049-064","complete"
"APP-057","65","batch-065-080","complete"
"APP-058","66","batch-065-080","complete"
"APP-059","67","batch-065-080","complete"
"APP-060","68","batch-065-080","complete"
"APP-061","69","batch-065-080","complete"
"APP-062","70","batch-065-080","complete"
"APP-063","71","batch-065-080","complete"
"APP-064","72","batch-065-080","complete"
"APP-065","73","batch-065-080","complete"
"APP-066","74","batch-065-080","complete"
"APP-067","75","batch-065-080","complete"
"APP-068","76","batch-065-080","complete"
"APP-069-OR1","77","batch-065-080","complete"
"APP-069-OR2","78","batch-065-080","complete"
"APP-069","79","batch-065-080","complete"
"APP-070","80","batch-065-080","complete"
"APP-071-OR1","81","batch-081-096","complete"
"APP-071","82","batch-081-096","complete"
"APP-072","83","batch-081-096","complete"
"APP-073","84","batch-081-096","complete"
"APP-074-OR1","85","batch-081-096","complete"
"APP-074","86","batch-081-096","complete"
"APP-075","87","batch-081-096","complete"
"APP-076","88","batch-081-096","complete"
"APP-077","89","batch-081-096","complete"
"APP-078","90","batch-081-096","complete"
"APP-079","91","batch-081-096","complete"
"APP-080","92","batch-081-096","complete"
"APP-081","93","batch-081-096","complete"
"APP-082","94","batch-081-096","complete"
"APP-083","95","batch-081-096","complete"
"APP-084","96","batch-081-096","complete"
"APP-085","97","batch-097-112","complete"
"APP-086-OR1","98","batch-097-112","complete"
"APP-086","99","batch-097-112","complete"
"APP-087","100","batch-097-112","complete"
"APP-088-OR1","101","batch-097-112","complete"
"APP-088","102","batch-097-112","complete"
"APP-089","103","batch-097-112","complete"
"APP-090-OR1","104","batch-097-112","complete"
"APP-090","105","batch-097-112","complete"
"APP-091","106","batch-097-112","complete"
"APP-092","107","batch-097-112","complete"
"APP-093","108","batch-097-112","complete"
"APP-094","109","batch-097-112","complete"
"APP-095","110","batch-097-112","complete"
"APP-096","111","batch-097-112","complete"
"APP-097","112","batch-097-112","complete"
"APP-098","113","batch-113-128","complete"
"APP-099","114","batch-113-128","complete"
"APP-100","115","batch-113-128","complete"
"APP-101","116","batch-113-128","complete"
"APP-102","117","batch-113-128","complete"
"APP-103","118","batch-113-128","complete"
"APP-104","119","batch-113-128","complete"
"APP-105","120","batch-113-128","complete"
"APP-106","121","batch-113-128","complete"
"APP-107","122","batch-113-128","complete"
"APP-108","123","batch-113-128","complete"
"APP-109","124","batch-113-128","complete"
"APP-110","125","batch-113-128","complete"
"APP-111","126","batch-113-128","complete"
"APP-112","127","batch-113-128","complete"
"APP-113","128","batch-113-128","complete"
"APP-114","129","batch-129-144","complete"
"APP-115","130","batch-129-144","complete"
"APP-116","131","batch-129-144","complete"
