"case","f","angles_pi","minimum_f_from_vertex_degrees"
"APP-030","12","[1, 2/3, 1/2, 1/2, 2/3]","14"
"APP-083","12","[1/2, 1, 1/3, 1, 1/2]","14"
"APP-108","12","[1/3, 1, 2/3, 5/6, 1/2]","14"
"APP-122","12","[1, 1/2, 2/3, 2/3, 1/2]","14"
"APP-123","12","[5/6, 5/6, 1/3, 5/6, 1/2]","14"
"APP-169","12","[1/3, 2/3, 1, 1/3, 1]","14"
"APP-169","12","[1/3, 2/3, 1, 1/2, 5/6]","14"
"APP-169-OR1","12","[1/3, 2/3, 1, 1/3, 1]","14"
"APP-169-OR1","12","[1/3, 2/3, 1, 1/2, 5/6]","14"
"APP-171","12","[1/3, 2/3, 1, 1/3, 1]","14"
"APP-171-OR1","12","[1/3, 2/3, 1, 1/3, 1]","14"
"APP-172","12","[1/3, 2/3, 1, 1/3, 1]","16"
"APP-174","12","[1/3, 2/3, 1, 1/3, 1]","16"
"APP-174","12","[1/3, 2/3, 1, 1/2, 5/6]","16"
"APP-176","12","[1/3, 2/3, 1, 1/2, 5/6]","16"
"APP-208","12","[2/3, 4/9, 8/9, 1, 1/3]","14"
"APP-217","12","[1/2, 1/3, 1, 1/2, 1]","14"
