case,f,angles_pi,vertex_exact,angle_sum_exact,equation_26_exact,minimum_f_from_vertex_degrees,status,source
APP-010,12,"[4/9, 4/9, 2/3, 7/9, 1]",true,true,true,12,matches_manuscript,recursive_search
APP-012,44,"[4/11, 4/11, 6/11, 9/11, 1]",true,true,true,14,matches_manuscript,recursive_search
APP-018,14,"[4/7, 3/7, 5/7, 5/7, 6/7]",true,true,true,12,matches_manuscript,recursive_search
APP-019,18,"[5/9, 4/9, 2/3, 13/18, 5/6]",true,true,true,12,matches_manuscript,recursive_search
APP-020,24,"[2/3, 1, 1/2, 2/3, 1/3]",true,true,true,12,matches_manuscript,recursive_search
APP-021,24,"[2/3, 1, 1/2, 2/3, 1/3]",true,true,true,14,matches_manuscript,recursive_search
APP-022,40,"[9/10, 3/10, 1/5, 11/20, 23/20]",true,true,true,12,matches_manuscript,recursive_search
APP-025,12,"[1, 2/3, 1/2, 1/2, 2/3]",true,true,true,12,matches_manuscript,recursive_search
APP-026,12,"[1/3, 1, 2/3, 5/6, 1/2]",true,true,true,12,matches_manuscript,recursive_search
APP-027,12,"[1/3, 1, 2/3, 5/6, 1/2]",true,true,true,12,matches_manuscript,recursive_search
APP-028,18,"[1/3, 1, 5/9, 5/6, 1/2]",true,true,true,14,matches_manuscript,recursive_search
APP-028,28,"[2/7, 6/7, 4/7, 6/7, 4/7]",true,true,true,14,matches_manuscript,recursive_search
APP-029,24,"[1/3, 1, 1/2, 5/6, 1/2]",true,true,true,12,matches_manuscript,recursive_search
APP-029,28,"[2/7, 6/7, 4/7, 6/7, 4/7]",true,true,true,12,matches_manuscript,recursive_search
APP-030,12,"[1, 2/3, 1/2, 1/2, 2/3]",true,true,true,14,excluded_vertex_degree_bound,recursive_search
APP-030,24,"[1/3, 1, 1/2, 5/6, 1/2]",true,true,true,14,matches_manuscript,recursive_search
APP-031,48,"[1/4, 7/4, 1/12, 7/8, 1/8]",true,true,true,14,matches_manuscript,recursive_search
APP-032,60,"[1/3, 1, 2/5, 5/6, 1/2]",true,true,true,16,matches_manuscript,recursive_search
APP-037,24,"[1, 1/2, 1, 1/2, 1/6]",true,true,true,12,matches_manuscript,recursive_search
APP-038,24,"[1, 1/2, 1, 1/2, 1/6]",true,true,true,14,matches_manuscript,recursive_search
APP-046,12,"[1/3, 1, 2/3, 5/6, 1/2]",true,true,true,12,matches_manuscript,recursive_search
APP-047,28,"[2/7, 6/7, 4/7, 6/7, 4/7]",true,true,true,12,matches_manuscript,recursive_search
APP-048,28,"[2/7, 6/7, 4/7, 6/7, 4/7]",true,true,true,12,matches_manuscript,recursive_search
