case,factor,status,candidate_count,accepted_count
APP-057,1,ok,0,0
APP-058,1,ok,1,1
APP-059,1,ok,0,0
APP-060,1,ok,0,0
APP-061,1,ok,0,0
APP-062,1,one_variable_factor,0,0
APP-062,2,one_variable_factor,0,0
APP-062,3,ok,0,0
APP-062,4,one_variable_factor,0,0
APP-062,5,one_variable_factor,0,0
APP-063,1,one_variable_factor,0,0
APP-063,2,one_variable_factor,0,0
APP-063,3,ok,0,0
APP-063,4,one_variable_factor,0,0
APP-063,5,one_variable_factor,0,0
APP-064,1,ok,0,0
APP-065,1,ok,0,0
APP-066,1,one_variable_factor,0,0
APP-066,2,ok,0,0
APP-066,3,one_variable_factor,0,0
APP-066,4,one_variable_factor,0,0
APP-066,5,one_variable_factor,0,0
APP-066,6,one_variable_factor,0,0
APP-066,7,one_variable_factor,0,0
APP-066,8,one_variable_factor,0,0
APP-066,9,one_variable_factor,0,0
APP-067,1,ok,0,0
APP-068,1,ok,0,0
APP-069-OR1,1,one_variable_factor,0,0
APP-069-OR1,2,one_variable_factor,0,0
APP-069-OR1,3,ok,0,0
APP-069-OR2,1,one_variable_factor,0,0
APP-069-OR2,2,ok,0,0
APP-069-OR2,3,one_variable_factor,0,0
APP-069,1,one_variable_factor,0,0
APP-069,2,one_variable_factor,0,0
APP-069,3,ok,0,0
APP-070,1,ok,0,0
